Date_of_Reporting	Deaths	deaths_cumulative	New_Local_Cases	New_Imported_Cases	New_Undetermined_Cases	New_Total_Cases	Unidentifiable	New_Local_Cases_Source	Notes	Num_Delayed	Date_of_Reporting_REPEAT	New_Local_Cases_Original	New_Local_Cases_20210522	New_Local_Cases_20210523	New_Local_Cases_20210524	New_Local_Cases_20210525	New_Local_Cases_20210526	New_Local_Cases_20210527	New_Local_Cases_20210528	ERR_New_Local_Cases_20210529_ERROR_REPORTED	New_Local_Cases_20210529	New_Local_Cases_20210530	New_Local_Cases_20210531	New_Local_Cases_20210601	New_Local_Cases_20210602	New_Local_Cases_20210603	New_Local_Cases_20210604	New_Local_Cases_20210605	New_Local_Cases_20210606	New_Local_Cases_Revised	Revised_Status	Specimen_from_Reported_COVID-19	Specimen_from_Reported_from_Home_Quarantine	Specimen_from_Enhanced_Surveillance	Total
2020/2/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	27	45	0	72
2020/2/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	30	59	0	89
2020/2/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	30	76	6	112
2020/2/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	32	166	615	813
2020/2/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	42	64	726	832
2020/2/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	31	60	605	696
2020/2/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	35	39	722	796
2020/2/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	23	38	653	714
2020/2/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	33	30	381	444
2020/2/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	13	32	283	328
2020/2/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	13	34	651	698
2020/2/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	12	33	564	609
2020/2/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	15	21	485	521
2020/2/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	8	25	487	520
2020/2/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	11	14	346	371
